category_code,AALS,Neural
ladies_dresses_mididresses,76696.0,126412
ladies_jacketscoats_jackets,68183.0,75674
ladies_jacketscoats_coats,26655.0,62606
ladies_cardigansjumpers_jumpers,120239.0,55652
ladies_dresses_shortdresses,26425.0,53536
ladies_shirtsblouses_blouses,54111.0,52354
ladies_shirtsblouses_shirts,155139.0,50459
ladies_sport_bottoms_trousers,1.0,44184
ladies_jeans_slim,116870.0,40132
ladies_nightwear_loungewear,2.0,39738
ladies_cardigansjumpers_cardigans,132245.0,33196
ladies_tops_shortsleeve,160190.0,32159
ladies_trousers_chinosslacks,137048.0,27837
ladies_swimwear_swimsuits,27.0,27410
ladies_basics_tops_shortsleeve,231972.0,24893
ladies_trousers_leggings,78459.0,23794
ladies_trousers_joggers,90417.0,21698
ladies_nightwear_pyjamas,76.0,21431
ladies_jeans_loose,41102.0,21284
ladies_tops_croppedtops,160648.0,21222
ladies_tops_longsleeve,28234.0,21172
ladies_tops_vests,85847.0,15354
ladies_basics_trousersleggings,28446.0,14900
ladies_jeans_straight,5471.0,14670
ladies_jacketscoats_biker,22869.0,13344
ladies_basics_tops_longsleeve,14200.0,12946
ladies_hoodiesswetshirts_sweatshirts,33273.0,12826
ladies_jacketscoats_denim,17.0,11763
ladies_basics_tops_vests,211303.0,10833
ladies_hoodiesswetshirts_hoodies,13530.0,10681
ladies_dresses_maxidresses,55.0,10450
ladies_trousers,1375.0,8795
ladies_shoes_sneakers,2.0,8315
ladies_jeans_shaping,4.0,7411
ladies_cardigansjumpers_hoodiessweatshirts,51081.0,7021
ladies_blazerswaistcoats_blazers,16749.0,4609
ladies_trousers_slim,6572.0,4238
ladies_jeans_skinny,7573.0,4227
ladies_jacketscoats_bomber,28.0,3800
ladies_trousers_flare,28273.0,3769
ladies_jacketscoats_parkas,7.0,3620
ladies_tops_bodys,572.0,3542
ladies_knitwear_turtlenecks,2456.0,3483
ladies_dresses_party,89.0,3422
ladies_jumpsuits_long,8.0,3396
ladies_shorts,350.0,3137
ladies_shoes_sandals_espandrillos,22062.0,3101
ladies_shoes_pumps_highheels,584.0,3030
ladies_basics_cardigansjumpers,6.0,3026
ladies_jumpsuits,582.0,2875
ladies_tops,4607.0,2870
ladies_sport_bottoms_shorts,2.0,2488
ladies_jeans_bootcut,9714.0,2283
ladies_skirts_shortskirts,536.0,2258
ladies_jeans,125.0,1261
ladies_basics_tops,457.0,862
ladies_jeans_highwaisted,1223.0,243
ladies_trousers_culottes,20.0,16
